Tray,Date,FlyID,Strain,Sex,Age,FilePath,Ignore,Notes,Ntrials,rBias,BatchID,uniquetrayID
2,04-Apr-2021,70,535,M,3,04-04-2021-14-42-35__Y-Maze_105_B_1-96_Day3,1,,228,0.634361233480176,2,8
2,04-Apr-2021,71,535,M,3,04-04-2021-14-42-35__Y-Maze_105_B_1-96_Day3,1,,722,0.479889042995839,2,8
2,04-Apr-2021,72,535,M,3,04-04-2021-14-42-35__Y-Maze_105_B_1-96_Day3,1,,1047,0.461759082217973,2,8
2,04-Apr-2021,73,796,F,3,04-04-2021-14-42-35__Y-Maze_105_B_1-96_Day3,1,,0,NaN,2,8
2,04-Apr-2021,74,796,F,3,04-04-2021-14-42-35__Y-Maze_105_B_1-96_Day3,1,,41,0.75,2,8
2,04-Apr-2021,75,796,F,3,04-04-2021-14-42-35__Y-Maze_105_B_1-96_Day3,1,,5,0.5,2,8
2,04-Apr-2021,76,796,F,3,04-04-2021-14-42-35__Y-Maze_105_B_1-96_Day3,1,,120,0.680672268907563,2,8
2,04-Apr-2021,77,796,F,3,04-04-2021-14-42-35__Y-Maze_105_B_1-96_Day3,1,,170,0.627218934911243,2,8
2,04-Apr-2021,78,796,F,3,04-04-2021-14-42-35__Y-Maze_105_B_1-96_Day3,1,,51,0.6,2,8
2,04-Apr-2021,79,796,F,3,04-04-2021-14-42-35__Y-Maze_105_B_1-96_Day3,1,,7,0.333333333333333,2,8
2,04-Apr-2021,80,796,F,3,04-04-2021-14-42-35__Y-Maze_105_B_1-96_Day3,1,,319,0.5,2,8
2,04-Apr-2021,81,796,F,3,04-04-2021-14-42-35__Y-Maze_105_B_1-96_Day3,1,,541,0.631481481481482,2,8
2,04-Apr-2021,82,796,F,3,04-04-2021-14-42-35__Y-Maze_105_B_1-96_Day3,1,,92,0.505494505494505,2,8
2,04-Apr-2021,83,796,F,3,04-04-2021-14-42-35__Y-Maze_105_B_1-96_Day3,1,,34,0.636363636363636,2,8
2,04-Apr-2021,84,796,F,3,04-04-2021-14-42-35__Y-Maze_105_B_1-96_Day3,1,,9,0.5,2,8
2,04-Apr-2021,85,796,M,3,04-04-2021-14-42-35__Y-Maze_105_B_1-96_Day3,1,,48,0.574468085106383,2,8
2,04-Apr-2021,86,796,M,3,04-04-2021-14-42-35__Y-Maze_105_B_1-96_Day3,1,,113,0.508928571428571,2,8
2,04-Apr-2021,87,796,M,3,04-04-2021-14-42-35__Y-Maze_105_B_1-96_Day3,1,,214,0.629107981220657,2,8
2,04-Apr-2021,88,796,M,3,04-04-2021-14-42-35__Y-Maze_105_B_1-96_Day3,1,,390,0.498714652956298,2,8
2,04-Apr-2021,89,796,M,3,04-04-2021-14-42-35__Y-Maze_105_B_1-96_Day3,1,,693,0.562138728323699,2,8
2,04-Apr-2021,90,796,M,3,04-04-2021-14-42-35__Y-Maze_105_B_1-96_Day3,1,,423,0.296208530805687,2,8
2,04-Apr-2021,91,796,M,3,04-04-2021-14-42-35__Y-Maze_105_B_1-96_Day3,1,,729,0.517857142857143,2,8
2,04-Apr-2021,92,796,M,3,04-04-2021-14-42-35__Y-Maze_105_B_1-96_Day3,1,,855,0.605386416861827,2,8
2,04-Apr-2021,93,796,M,3,04-04-2021-14-42-35__Y-Maze_105_B_1-96_Day3,1,,449,0.716517857142857,2,8
2,04-Apr-2021,94,796,M,3,04-04-2021-14-42-35__Y-Maze_105_B_1-96_Day3,1,,189,0.526595744680851,2,8
2,04-Apr-2021,95,796,M,3,04-04-2021-14-42-35__Y-Maze_105_B_1-96_Day3,1,,176,0.457142857142857,2,8
2,04-Apr-2021,96,796,M,3,04-04-2021-14-42-35__Y-Maze_105_B_1-96_Day3,1,,1089,0.384191176470588,2,8
1,10-Apr-2021,1,105,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,450,0.623608017817372,2,7
1,10-Apr-2021,2,105,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,559,0.637992831541219,2,7
1,10-Apr-2021,3,105,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,656,0.67175572519084,2,7
1,10-Apr-2021,4,105,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,0,NaN,2,7
1,10-Apr-2021,5,105,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,534,0.454033771106942,2,7
1,10-Apr-2021,6,105,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,20,0.526315789473684,2,7
1,10-Apr-2021,7,105,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,68,0.447761194029851,2,7
1,10-Apr-2021,8,105,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,25,0.375,2,7
1,10-Apr-2021,9,105,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,32,0.483870967741935,2,7
1,10-Apr-2021,10,105,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,59,0.413793103448276,2,7
1,10-Apr-2021,11,105,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,294,0.25938566552901,2,7
1,10-Apr-2021,12,105,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,29,0.571428571428571,2,7
1,10-Apr-2021,13,105,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,823,0.5669099756691,2,7
1,10-Apr-2021,14,105,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,357,0.455056179775281,2,7
1,10-Apr-2021,15,105,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,716,0.387412587412587,2,7
1,10-Apr-2021,16,105,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,105,0.519230769230769,2,7
1,10-Apr-2021,17,105,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,661,0.401515151515151,2,7
1,10-Apr-2021,18,105,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,387,0.624352331606218,2,7
1,10-Apr-2021,19,105,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,494,0.527383367139959,2,7
1,10-Apr-2021,20,105,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,648,0.513137557959815,2,7
1,10-Apr-2021,21,105,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,620,0.570274636510501,2,7
1,10-Apr-2021,22,105,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,750,0.551401869158878,2,7
1,10-Apr-2021,23,105,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,83,0.5,2,7
1,10-Apr-2021,24,105,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,783,0.410485933503836,2,7
1,10-Apr-2021,25,45,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,714,0.392706872370266,2,7
1,10-Apr-2021,26,45,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,450,0.483296213808463,2,7
1,10-Apr-2021,27,45,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,930,0.539289558665231,2,7
1,10-Apr-2021,28,45,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,1011,0.618811881188119,2,7
1,10-Apr-2021,29,45,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,686,0.337226277372263,2,7
1,10-Apr-2021,30,45,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,870,0.417721518987342,2,7
1,10-Apr-2021,31,45,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,719,0.433147632311978,2,7
1,10-Apr-2021,32,45,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,914,0.302300109529025,2,7
1,10-Apr-2021,33,45,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,919,0.418300653594771,2,7
1,10-Apr-2021,34,45,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,1165,0.585910652920962,2,7
1,10-Apr-2021,35,45,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,753,0.763297872340426,2,7
1,10-Apr-2021,36,45,F,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,759,0.154353562005277,2,7
1,10-Apr-2021,37,45,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,899,0.169265033407572,2,7
1,10-Apr-2021,38,45,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,649,0.655864197530864,2,7
1,10-Apr-2021,39,45,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,1047,0.421606118546845,2,7
1,10-Apr-2021,40,45,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,547,0.364468864468864,2,7
1,10-Apr-2021,41,45,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,694,0.27994227994228,2,7
1,10-Apr-2021,42,45,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,432,0.473317865429234,2,7
1,10-Apr-2021,43,45,M,9,04-10-2021-12-21-56__Y-Maze_105_B_1-96_Day9,1,,464,0.505399568034557,2,7
