BatchNumber,TrayNumber,FlyID,LineNumber,Sex,n_Week1Day1,rBias_Week1Day1,n_Week1Day2,rBias_Week1Day2,n_Week1Day3,rBias_Week1Day3,n_Week2Day1,rBias_Week2Day1,n_Week2Day2,rBias_Week2Day2,n_Week3Day1,rBias_Week3Day1,n_Week3Day2,rBias_Week3Day2,n_Week3Day3,rBias_Week3Day3
2,3,21,907,0,110,0.73394495412844,116,0.565217391304348,297,0.456081081081081,340,0.519174041297935,293,0.482876712328767,330,0.477203647416413,336,0.501492537313433,328,0.519877675840979
2,3,22,907,0,477,0.48109243697479,352,0.555555555555556,363,0.527624309392265,293,0.438356164383562,273,0.455882352941176,-1,NaN,2,0,-1,NaN
2,3,23,907,0,102,0.504950495049505,99,0.510204081632653,103,0.352941176470588,416,0.542168674698795,304,0.544554455445545,318,0.378548895899054,390,0.413881748071979,248,0.510121457489879
2,3,24,907,0,337,0.577380952380952,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
2,3,25,907,0,152,0.721854304635762,435,0.686635944700461,504,0.560636182902585,302,0.558139534883721,257,0.51953125,205,0.514705882352941,207,0.538834951456311,297,0.574324324324324
2,3,26,907,0,262,0.425287356321839,273,0.433823529411765,290,0.256055363321799,229,0.451754385964912,189,0.361702127659574,185,0.396739130434783,237,0.61864406779661,86,0.623529411764706
2,3,27,907,0,199,0.575757575757576,424,0.678486997635934,499,0.650602409638554,537,0.591417910447761,592,0.710659898477157,314,0.603833865814696,485,0.574380165289256,339,0.677514792899408
2,3,28,907,0,106,0.457142857142857,127,0.634920634920635,119,0.542372881355932,293,0.571917808219178,259,0.655038759689923,304,0.554455445544555,238,0.556962025316456,140,0.474820143884892
2,3,29,907,0,375,0.5,534,0.559099437148218,499,0.6285140562249,414,0.578692493946731,260,0.474903474903475,192,0.335078534031414,186,0.691891891891892,-1,NaN
2,3,30,907,0,61,0.416666666666667,-1,NaN,-1,NaN,0,NaN,-1,NaN,-1,NaN,3,0.5,-1,NaN
2,3,31,907,0,238,0.548523206751055,295,0.493197278911565,233,0.586206896551724,269,0.507462686567164,186,0.443243243243243,162,0.695652173913043,1,NaN,-1,NaN
2,3,32,907,0,396,0.6,-1,NaN,-1,NaN,0,NaN,-1,NaN,1,NaN,4,0.333333333333333,-1,NaN
2,3,33,907,0,48,0.446808510638298,236,0.761702127659574,545,0.626838235294118,597,0.444630872483221,400,0.531328320802005,5,0.5,2,1,-1,NaN
2,3,34,907,0,85,0.5,121,0.516666666666667,258,0.342412451361868,404,0.543424317617866,348,0.487031700288184,0,NaN,1,NaN,-1,NaN
2,3,35,907,0,246,0.477551020408163,-1,NaN,522,0.376199616122841,437,0.373853211009174,334,0.603603603603604,471,0.523404255319149,280,0.440860215053763,111,0.463636363636364
2,3,36,907,0,256,0.603921568627451,377,0.550531914893617,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
2,3,37,907,0,157,0.512820512820513,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
2,3,38,907,0,119,0.313559322033898,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,7,0.666666666666667,-1,NaN
2,3,39,907,0,121,0.441666666666667,230,0.436681222707424,191,0.58421052631579,361,0.741666666666667,261,0.580769230769231,365,0.697802197802198,221,0.740909090909091,58,0.491228070175439
2,3,40,907,0,172,0.701754385964912,200,0.231155778894472,253,0.28968253968254,397,0.429292929292929,357,0.418539325842697,256,0.407843137254902,3,0.5,-1,NaN
2,3,41,907,0,447,0.5,571,0.57719298245614,411,0.465853658536585,229,0.504385964912281,342,0.466275659824047,371,0.435135135135135,237,0.38135593220339,278,0.447653429602888
