BatchNumber,TrayNumber,FlyID,LineNumber,Sex,n_Week1Day1,rBias_Week1Day1,n_Week1Day2,rBias_Week1Day2,n_Week1Day3,rBias_Week1Day3,n_Week2Day1,rBias_Week2Day1,n_Week2Day2,rBias_Week2Day2,n_Week2Day3,rBias_Week2Day3,n_Week3Day1,rBias_Week3Day1,n_Week3Day2,rBias_Week3Day2,n_Week3Day3,rBias_Week3Day3
2,1,15,105,0,935,0.470021413276231,935,0.546038543897216,197,0.586734693877551,794,0.445145018915511,490,0.427402862985685,1026,0.525853658536585,476,0.425263157894737,-1,NaN,-1,NaN
2,1,16,105,0,545,0.455882352941176,737,0.252717391304348,46,0.511111111111111,702,0.634807417974322,64,0.555555555555556,664,0.6289592760181,575,0.702090592334495,140,0.489208633093525,-1,NaN
2,1,17,105,0,649,0.748456790123457,1142,0.394390885188431,0,NaN,-1,NaN,-1,NaN,-1,NaN,0,NaN,-1,NaN,-1,NaN
2,1,18,105,0,502,0.500998003992016,286,0.178947368421053,19,0.333333333333333,52,0.509803921568627,82,0.45679012345679,512,0.332681017612524,31,0.366666666666667,165,0.445121951219512,123,0.344262295081967
2,1,19,105,0,1459,0.563100137174211,1161,0.644827586206897,584,0.389365351629503,1481,0.647297297297297,547,0.628205128205128,1122,0.541480820695807,390,0.616966580976864,550,0.728597449908925,-1,NaN
2,1,20,105,0,400,0.448621553884712,1145,0.684440559440559,557,0.602517985611511,427,0.584507042253521,138,0.518248175182482,804,0.166874221668742,0,NaN,-1,NaN,-1,NaN
2,1,21,105,0,334,0.429429429429429,351,0.58,253,0.575396825396825,616,0.473170731707317,176,0.537142857142857,-1,NaN,0,NaN,-1,NaN,-1,NaN
2,1,22,105,0,488,0.474332648870637,452,0.370288248337029,559,0.50179211469534,938,0.425827107790822,205,0.57843137254902,603,0.737541528239203,517,0.439922480620155,-1,NaN,-1,NaN
2,1,23,105,0,939,0.550106609808102,383,0.615183246073298,67,0.409090909090909,107,0.528301886792453,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
2,1,24,105,0,760,0.545454545454545,1012,0.528189910979229,261,0.569230769230769,648,0.525502318392581,119,0.584745762711864,729,0.483516483516484,626,0.5824,732,0.566347469220246,353,0.508522727272727
2,1,25,105,0,226,0.315555555555556,1052,0.751665080875357,720,0.662030598052851,914,0.325301204819277,488,0.447638603696099,83,0.280487804878049,-1,NaN,-1,NaN,-1,NaN
2,1,26,105,0,736,0.356462585034014,1298,0.372397841171935,80,0.177215189873418,744,0.399730820995962,5,0.25,763,0.532808398950131,366,0.586301369863014,375,0.390374331550802,-1,NaN
2,1,27,105,0,1240,0.461662631154157,1192,0.478589420654912,716,0.483916083916084,871,0.474712643678161,477,0.361344537815126,632,0.412044374009509,760,0.470355731225296,782,0.425096030729834,314,0.319488817891374
2,1,28,105,0,638,0.427001569858713,1088,0.396504139834407,363,0.422651933701657,370,0.457994579945799,454,0.375275938189845,737,0.448369565217391,796,0.70062893081761,699,0.51432664756447,246,0.604081632653061
2,1,29,105,0,909,0.435022026431718,814,0.462484624846248,487,0.335390946502058,646,0.351937984496124,516,0.553398058252427,916,0.330054644808743,696,0.244604316546763,655,0.290519877675841,774,0.234152652005175
2,1,30,105,0,935,0.474304068522484,1189,0.285353535353535,499,0.417670682730924,678,0.388478581979321,590,0.278438030560272,990,0.32355915065723,668,0.293853073463268,765,0.295811518324607,-1,NaN
2,1,31,105,0,1053,0.543726235741445,1181,0.564406779661017,561,0.526785714285714,454,0.443708609271523,367,0.245901639344262,842,0.455410225921522,396,0.253164556962025,513,0.5078125,1,NaN
2,1,32,105,0,364,0.62534435261708,405,0.425742574257426,123,0.532786885245902,488,0.642710472279261,111,0.690909090909091,695,0.489913544668588,555,0.73826714801444,671,0.850746268656716,77,0.881578947368421
2,1,33,105,0,662,0.53857791225416,191,0.368421052631579,105,0.480769230769231,-1,NaN,-1,NaN,-1,NaN,1,NaN,0,NaN,-1,NaN
2,1,34,105,0,188,0.213903743315508,98,0.536082474226804,111,0.854545454545454,-1,NaN,-1,NaN,-1,NaN,1,NaN,-1,NaN,-1,NaN
2,1,35,105,0,583,0.410652920962199,831,0.397590361445783,371,0.527027027027027,449,0.46875,344,0.326530612244898,394,0.569974554707379,381,0.721052631578947,546,0.644036697247706,-1,NaN
2,1,36,105,0,786,0.574522292993631,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN,-1,NaN
2,1,37,105,0,167,0.337349397590361,177,0.857954545454545,264,0.577946768060836,137,0.816176470588235,258,0.642023346303502,525,0.534351145038168,225,0.875,-1,NaN,-1,NaN
2,1,38,105,0,586,0.504273504273504,935,0.486081370449679,271,0.514814814814815,474,0.372093023255814,73,0.333333333333333,967,0.467908902691511,-1,NaN,-1,NaN,-1,NaN
2,1,39,105,0,838,0.323775388291517,1115,0.526929982046679,409,0.419117647058824,657,0.478658536585366,139,0.347826086956522,854,0.611957796014068,760,0.654808959156785,760,0.58498023715415,508,0.343195266272189
