,Batch #,Fly ID,Date,Day,Drug Treatment,nTurns,rBias
191,1,96,5/5,2,TrH,178,0.3333333333
192,1,1,5/6,3,TrH,59,0.5172413793
193,1,2,5/6,3,TrH,-1,
194,1,3,5/6,3,TrH,149,0.5540540541
195,1,4,5/6,3,TrH,34,0.4242424242
196,1,5,5/6,3,TrH,60,0.4237288136
197,1,6,5/6,3,TrH,186,0.45945945950000006
198,1,7,5/6,3,TrH,-1,
199,1,8,5/6,3,TrH,2,1.0
200,1,9,5/6,3,TrH,178,0.4124293785
201,1,10,5/6,3,TrH,691,0.5898550725
202,1,11,5/6,3,TrH,-1,
203,1,12,5/6,3,TrH,-1,
204,1,13,5/6,3,TrH,-1,
205,1,14,5/6,3,TrH,-1,
206,1,15,5/6,3,TrH,3,0.0
207,1,16,5/6,3,TrH,-1,
208,1,17,5/6,3,TrH,180,0.6201117318
209,1,18,5/6,3,TrH,2,0.0
210,1,19,5/6,3,TrH,23,0.5
211,1,20,5/6,3,TrH,-1,
212,1,21,5/6,3,TrH,17,0.4375
213,1,22,5/6,3,TrH,8,0.42857142859999997
214,1,23,5/6,3,TrH,230,0.3624454148
215,1,24,5/6,3,TrH,347,0.5
216,1,25,5/6,3,TrH,-1,
217,1,26,5/6,3,TrH,84,0.26506024100000003
218,1,27,5/6,3,TrH,685,0.4356725146
219,1,28,5/6,3,TrH,267,0.5338345864999999
220,1,29,5/6,3,TrH,7,0.1666666667
221,1,30,5/6,3,TrH,114,0.5840707964999999
222,1,31,5/6,3,TrH,276,0.29454545449999997
223,1,32,5/6,3,TrH,558,0.3931777379
224,1,33,5/6,3,TrH,413,0.7233009709
225,1,34,5/6,3,TrH,155,0.487012987
226,1,35,5/6,3,TrH,213,0.3679245283
227,1,36,5/6,3,TrH,53,0.7307692308
228,1,37,5/6,3,TrH,0,
229,1,38,5/6,3,TrH,26,0.48
230,1,39,5/6,3,TrH,53,0.6153846154
231,1,40,5/6,3,TrH,263,0.3893129771
232,1,41,5/6,3,TrH,169,0.4345238095
233,1,42,5/6,3,TrH,9,0.5
234,1,43,5/6,3,TrH,5,0.5
235,1,44,5/6,3,TrH,-1,
236,1,45,5/6,3,TrH,374,0.254691689
237,1,46,5/6,3,TrH,23,0.5454545454999999
238,1,47,5/6,3,TrH,260,0.5444015444
239,1,48,5/6,3,TrH,8,0.5714285714
240,1,49,5/6,3,TrH,89,0.5
241,1,50,5/6,3,TrH,-1,
242,1,51,5/6,3,TrH,20,0.5789473684
243,1,52,5/6,3,TrH,271,0.262962963
244,1,53,5/6,3,TrH,2,0.0
245,1,54,5/6,3,TrH,9,0.5
246,1,55,5/6,3,TrH,82,0.30864197530000004
247,1,56,5/6,3,TrH,-1,
248,1,57,5/6,3,TrH,75,0.5675675675999999
249,1,58,5/6,3,TrH,184,0.5245901639
250,1,59,5/6,3,TrH,330,0.3465045593
251,1,60,5/6,3,TrH,173,0.5639534884
252,1,61,5/6,3,TrH,359,0.43296089390000003
253,1,62,5/6,3,TrH,14,0.6153846154
254,1,63,5/6,3,TrH,42,0.43902439020000006
255,1,64,5/6,3,TrH,57,0.5357142857
256,1,65,5/6,3,TrH,0,
257,1,66,5/6,3,TrH,54,0.4716981132
258,1,67,5/6,3,TrH,371,0.5243243243
259,1,68,5/6,3,TrH,336,0.528358209
260,1,69,5/6,3,TrH,59,0.5517241379
261,1,70,5/6,3,TrH,132,0.22900763359999998
262,1,71,5/6,3,TrH,359,0.49162011170000003
263,1,72,5/6,3,TrH,115,0.45614035090000005
264,1,73,5/6,3,TrH,27,0.1923076923
265,1,74,5/6,3,TrH,66,0.2769230769
266,1,75,5/6,3,TrH,15,0.42857142859999997
267,1,76,5/6,3,TrH,15,0.42857142859999997
268,1,77,5/6,3,TrH,434,0.6605080831
269,1,78,5/6,3,TrH,-1,
270,1,79,5/6,3,TrH,69,0.5441176471
271,1,80,5/6,3,TrH,100,0.6161616162
272,1,81,5/6,3,TrH,-1,
273,1,82,5/6,3,TrH,-1,
274,1,83,5/6,3,TrH,334,0.4864864865
275,1,84,5/6,3,TrH,169,0.4166666667
276,1,85,5/6,3,TrH,77,0.5131578947
277,1,86,5/6,3,TrH,115,0.27192982460000004
278,1,87,5/6,3,TrH,684,0.5285505124000001
279,1,88,5/6,3,TrH,60,0.4237288136
280,1,89,5/6,3,TrH,-1,
281,1,90,5/6,3,TrH,57,0.30357142859999997
282,1,91,5/6,3,TrH,-1,
283,1,92,5/6,3,TrH,-1,
284,1,93,5/6,3,TrH,257,0.44921875
285,1,94,5/6,3,TrH,15,0.7857142856999999
286,1,95,5/6,3,TrH,1,
287,1,96,5/6,3,TrH,-1,
288,1,1,5/11,8,TrH,124,0.6991869919
289,1,2,5/11,8,TrH,-1,
290,1,3,5/11,8,TrH,127,0.40476190479999996
291,1,4,5/11,8,TrH,521,0.5538461538
292,1,5,5/11,8,TrH,598,0.5159128978
293,1,6,5/11,8,TrH,415,0.3333333333
294,1,7,5/11,8,TrH,-1,
295,1,8,5/11,8,TrH,436,0.6
296,1,9,5/11,8,TrH,760,0.6561264822
297,1,10,5/11,8,TrH,-1,
298,1,11,5/11,8,TrH,-1,
299,1,12,5/11,8,TrH,-1,
300,1,13,5/11,8,TrH,-1,
301,1,14,5/11,8,TrH,0,
302,1,15,5/11,8,TrH,145,0.6666666667
303,1,16,5/11,8,TrH,-1,
